year,ProdWage,UnskillWage,Population,GDPpc,RelWage,Urbanization,Age20_29,RelDebt,Distrust,elite,epsilon,PSI,RelWage1,RelWage2
1979,22.71815789,674.04,14602481.0,35100.0,1.0285964683880842,0.858265823,0.166635998,24.8,0.3127272727,0.4537068604424133,3.275250116013669,0.1493805074992129,1.0288087244845998,1.0283842122915687
1980,22.45947368,666.64,14807370.0,35700.0,1.0,0.857713891,0.16742048,27.3,0.293,0.45092671591859457,3.3924555992782115,0.15267681380049553,1.0,1.0
1981,25.67052632,761.79,15054117.0,36400.0,1.1208729367187558,0.857161958,0.168183096,29.9,0.2966153846,0.45092671591859457,2.982399528305468,0.17246217292079094,1.1209907547712263,1.1207551186662852
1982,24.385,723.52,15288891.0,37000.0,1.0473882037311566,0.857100825,0.16921018,33.4,0.3002307692,0.4401428944202721,3.310872059989163,0.18458809346751692,1.0475859793046465,1.047190428157667
1983,23.11105263,685.79,15483496.0,35600.0,1.0317588146136842,0.857039692,0.1691379,36.8,0.3038461538,0.4356184780136004,3.4001446828277437,0.20126772601358756,1.0319017999874573,1.0316158292399111
1984,23.14526316,686.81,15677282.0,36800.0,0.9995955086712999,0.856978559,0.168570993,39.7,0.30746153849999996,0.43254035411837827,3.538092152237015,0.21565885710485894,0.9997305090309629,0.9994605083116368
1985,23.09447368,685.5,15900566.0,38200.0,0.9609861877776146,0.856917426,0.167853019,41.7,0.3110769231,0.4325808196191925,3.6742965130581977,0.22858508731156402,0.9609777839391037,0.9609945916161254
1986,21.66368421,642.99,16138769.0,39400.0,0.873966508356421,0.856856293,0.166380472,44.0,0.3146923077,0.43664058787794435,3.945003054124909,0.24999488070936038,0.8739865233201112,0.8739464933927308
1987,21.44105263,642.21,16394641.0,39800.0,0.8602124457746008,0.856196677,0.165029902,47.1,0.3183076923,0.45106144845309354,3.865523689287318,0.2873597056838209,0.8563112943419966,0.864113597207205
1988,20.98026316,631.41,16687082.0,41400.0,0.8111365822532983,0.855537061,0.163625072,50.7,0.3219230769,0.46731180089940394,3.8917537652733194,0.3382331365365431,0.8055253858998002,0.8167477786067965
1989,21.34263158,640.1,16936723.0,42300.0,0.8061876180117757,0.854877446,0.162960155,55.3,0.3255384615,0.4905956006784804,3.7224816745181255,0.4099847320191572,0.8020034594503608,0.8103717765731907
1990,21.16078947,629.1,17169768.0,43100.0,0.7810366066128576,0.85421783,0.161968816,58.7,0.3291538462,0.5146362058252334,3.6233514919679735,0.4861335073782137,0.7804107402302753,0.7816624729954397
1991,21.50421053,637.35,17378981.0,42400.0,0.8055782857271914,0.853558214,0.160908571,60.5,0.33276923080000004,0.5426711777501381,3.3669841580111175,0.5532211729903288,0.8061693601734785,0.8049872112809041
1992,21.28868421,630.96,17557133.0,42100.0,0.8031859258834662,0.855298175,0.160066282,61.3,0.33638461540000003,0.5668056061126535,3.230075617634556,0.6167644880627919,0.8037766125654403,0.8025952392014921
1993,21.32289474,635.33,17719090.0,43400.0,0.7824499593673762,0.857038136,0.15814627,61.8,0.34,0.5913097797758122,3.1498646786047226,0.6832711532779108,0.7809533189352763,0.783946599799476
1994,20.91105263,623.06,17893433.0,44700.0,0.745021660319795,0.858778098,0.156054682,62.5,0.38566666669999994,0.6191134799394006,3.100888204699524,0.8656954522423927,0.7435959459660796,0.7464473746735104
1995,20.73815789,609.79,18119616.0,46000.0,0.7132551976788652,0.860518059,0.154282795,63.8,0.4313333333,0.6533377653877938,3.01283119035664,1.1107829530704545,0.7166069013918849,0.7099034939658456
1996,20.20973684,594.25,18330079.0,47300.0,0.6759760777611395,0.86225802,0.152674628,65.5,0.47700000000000004,0.69354003846681,2.920414073218937,1.4449724628725105,0.6791538376699032,0.6727983178523759
1997,20.62131579,624.18,18510004.0,48600.0,0.6811149128117807,0.864409481,0.150863501,66.3,0.406,0.7414742676353985,2.721015481820048,1.4043907080056044,0.6744484254786667,0.6877814001448948
1998,21.07973684,642.96,18705620.0,50300.0,0.6753355131048755,0.866560941,0.148096615,67.1,0.335,0.7882923714810178,2.5706248912776766,1.309907402679493,0.6661405038357743,0.6845305223739766
1999,21.30763158,653.93,18919210.0,52200.0,0.6598511979890729,0.868712402,0.144985018,67.4,0.32899999999999996,0.8363669182203815,2.451186268255573,1.4442070635972835,0.6488335784668245,0.6708688175113211
2000,21.03947368,650.39,19141036.0,53600.0,0.6368716935283321,0.870863863,0.14196055,69.2,0.32299999999999995,0.8879162376802152,2.3484692445963153,1.6404452267258178,0.6239341017748049,0.6498092852818591
2001,20.76552632,643.16,19386461.0,54000.0,0.6245371861076,0.873015324,0.138443886,72.5,0.317,0.9449337358924377,2.2267303989058185,1.8874190360025798,0.6112485258480119,0.6378258463671881
2002,20.88,651.73,19605441.0,55400.0,0.6145389645232411,0.874840316,0.13667058,74.5,0.34299999999999997,1.0050523040488761,2.1087533795194244,2.3695597634013192,0.5990862763117807,0.6299916527347016
2003,20.98236842,659.4,19827155.0,56500.0,0.607649379122163,0.876665309,0.136142679,76.6,0.36238461540000005,1.0677759160131393,1.9947507208614894,2.9185360823878157,0.5903026079558366,0.6249961502884894
2004,21.22052632,671.6,20046003.0,58200.0,0.5987652493531261,0.878490301,0.135909588,78.9,0.395,1.1323445034845268,1.8930080545240964,3.7173263750685237,0.57956454295462,0.6179659557516323
2005,21.29026316,677.78,20311543.0,59400.0,0.5903878454522473,0.880315294,0.136237853,82.0,0.40633,1.1993548637351168,1.797927081366959,4.5150960880606945,0.569722309375294,0.6110533815292005
2006,21.53210526,691.61,20627547.0,60400.0,0.5899264682158217,0.882140286,0.137196294,85.9,0.417663,1.2687350445269456,1.7001645775342484,5.492642007934384,0.5666543108044991,0.6131986256271443
2007,21.39894737,689.43,21016121.0,61700.0,0.5748356180916669,0.884193317,0.138663029,90.1,0.429,1.3382476963366547,1.6291031905059985,6.772269527653448,0.5512846345928522,0.5983866015904818
2008,21.22789474,688.1,21475625.0,62800.0,0.5620350134665492,0.886246349,0.140921161,94.3,0.4493333333,1.4122104725681954,1.5576469264887998,8.53646443164235,0.5372988650038185,0.5867711619292798
2009,20.85868421,676.12,21865623.0,62500.0,0.5549053754703859,0.88829938,0.144458953,99.1,0.4696666667,1.4901353306356933,1.483510800875516,10.811433517878365,0.5304879620292153,0.5793227889115565
2010,21.09368421,688.51,22172469.0,62700.0,0.5614052826867553,0.890352411,0.145780337,100.0,0.368,1.5703462358107085,1.4014034497041659,9.533765122787367,0.5347533827991263,0.5880571825743843
2011,,,,,0.5817238239974571,0.8858749079747128,0.13278477383218412,97.46643678160854,0.42494004315241457,1.6484706729756444,1.3161328267523593,10.489821047025616,,
2012,,,,,0.5718313481044,0.8871239612999628,0.1314990971396366,99.58986281052967,0.42916762095708577,1.720373551755519,1.269921505219018,11.812099134388259,,
2013,,,,,0.5619388722113392,0.8883730146252133,0.1302134204470895,101.7132888394508,0.43339519876175814,1.7952502882819377,1.2253847769784836,13.294632808641273,,
2014,,,,,0.552046396318282,0.8896220679504634,0.12892774375454197,103.83671486837193,0.43762277656642934,1.8732055872390654,1.1824678470739536,14.956270517426242,,
2015,,,,,0.5421539204252213,0.8908711212757139,0.12764206706199488,105.96014089729306,0.4418503543711017,1.954349782123629,1.141115271181772,16.818087940355266,,
2016,,,,,0.5322614445321641,0.8921201746009639,0.12635639036944735,108.08356692621419,0.44607793217577296,2.038799246072111,1.101271441845131,18.903666982438992,,
2017,,,,,0.5223689686391033,0.8933692279262144,0.12507071367690026,110.20699295513532,0.45030550998044533,2.1266768408655796,1.0628809914425716,21.239413624588863,,
2018,,,,,0.5124764927460426,0.8946182812514649,0.12378503698435317,112.33041898405645,0.45453308778511653,2.2181124084501627,1.0258891227382332,23.854920769116056,,
2019,,,,,0.5025840168529854,0.895867334576715,0.12249936029180564,114.45384501297667,0.4587606655897889,2.313243309897295,0.9902418767544119,26.78338331595306,,
2020,,,,,0.4926915409599246,0.8971163879019655,0.12121368359925855,116.5772710418978,0.46298824339446126,2.4122150174063535,0.9558863466508388,30.062074023951027,,
